blobHeight,blobWidth,offset,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,start_trial_text.started,start_key_resp.started,start_key_resp.keys,start_key_resp.rt,noise.started,blob_1.started,blob_1.stopped,blob_2.started,noise_2.started,blob_2.stopped,key_resp.started,noise.stopped,key_resp.keys,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,Unnamed: 27
,,,,,,,8.623962996003684,8.623962996003684,right,0.6872332940110937,,,,,,,,,,,67016,10,2022-07-05_11h24.16.192,Bonnen2015_2afc,2022.2.1,60.1233029143757,
0.3182,0.22,0.0,0.0,0.0,0.0,3.0,,,,,9.445855960992048,9.497308732999954,9.800012006002362,9.847619858002872,10.155501742003253,10.155501742003253,10.155501742003253,10.310706545991708,right,0.048610528014251,67016,10,2022-07-05_11h24.16.192,Bonnen2015_2afc,2022.2.1,60.1233029143757,
1.0,0.07,0.02,0.0,1.0,1.0,8.0,,,,,10.310706545991708,10.364241450995904,10.66384255400044,10.713759705991832,11.022383135001292,11.022383135001292,11.022383135001292,,right,0.0202407240140019,67016,10,2022-07-05_11h24.16.192,Bonnen2015_2afc,2022.2.1,60.1233029143757,
1.0,0.07,-0.08,0.0,2.0,2.0,36.0,,,,,11.176417809998384,11.221648973994888,11.525209751998773,11.572607580994372,11.877578596991953,11.877578596991953,11.877578596991953,11.945071394991828,left,0.1189673500193748,67016,10,2022-07-05_11h24.16.192,Bonnen2015_2afc,2022.2.1,60.1233029143757,
0.4118,0.17,-0.16,0.0,3.0,3.0,42.0,,,,,12.110737822993542,12.163605346999248,12.464222515001891,12.525072424003156,12.834156921991962,12.834156921991962,12.834156921991962,12.897175548001542,right,1.3004111170012038,67016,10,2022-07-05_11h24.16.192,Bonnen2015_2afc,2022.2.1,60.1233029143757,
0.5833,0.12,0.02,0.0,4.0,4.0,9.0,,,,,14.256786411991923,14.304590840998571,14.59682371499366,14.65751602499222,14.969955054999446,14.969955054999446,14.969955054999446,15.046234170004029,right,0.1057674240146298,67016,10,2022-07-05_11h24.16.192,Bonnen2015_2afc,2022.2.1,60.1233029143757,
0.3182,0.22,0.01,0.0,5.0,5.0,7.0,,,,,15.180166689999169,15.23066549000214,15.530425356992057,15.580509268998869,15.895499354999629,15.895499354999629,15.895499354999629,15.961899390997132,right,0.0992753019963856,67016,10,2022-07-05_11h24.16.192,Bonnen2015_2afc,2022.2.1,60.1233029143757,
0.3182,0.22,0.02,0.0,6.0,6.0,11.0,,,,,16.094089293997968,16.1401793959958,16.44734006599174,16.49972886800242,16.800314872991294,16.800314872991294,16.800314872991294,16.864550297992537,right,0.0782853429991519,67016,10,2022-07-05_11h24.16.192,Bonnen2015_2afc,2022.2.1,60.1233029143757,
0.4118,0.17,-0.08,0.0,7.0,7.0,38.0,,,,,16.99062755900377,17.046781133001787,17.34695483399264,17.39795618399512,17.706685593002476,17.706685593002476,17.706685593002476,17.859802840001066,left,0.0455547560122795,67016,10,2022-07-05_11h24.16.192,Bonnen2015_2afc,2022.2.1,60.1233029143757,
0.5833,0.12,0.04,0.0,8.0,8.0,13.0,,,,,17.859802840001066,17.906153795993305,18.21785930299665,18.263804802991217,18.56451462599216,18.56451462599216,18.56451462599216,18.629434821996256,right,0.0740079730021534,67016,10,2022-07-05_11h24.16.192,Bonnen2015_2afc,2022.2.1,60.1233029143757,
0.3182,0.22,-0.16,0.0,9.0,9.0,43.0,,,,,18.755211337993387,18.80344603199046,19.10008253400156,19.14718022099987,19.449406116997125,19.449406116997125,19.449406116997125,19.515774535990204,left,0.0979793769947718,67016,10,2022-07-05_11h24.16.192,Bonnen2015_2afc,2022.2.1,60.1233029143757,
0.5833,0.12,-0.02,0.0,10.0,10.0,29.0,,,,,19.659220387999085,19.70581156600383,19.996898735989816,20.04693264799425,20.36276010599977,20.36276010599977,20.36276010599977,20.42849977000151,left,0.1861840060009854,67016,10,2022-07-05_11h24.16.192,Bonnen2015_2afc,2022.2.1,60.1233029143757,
0.4118,0.17,-0.01,0.0,11.0,11.0,26.0,,,,,20.67435992100218,20.73318368299806,21.035461084000417,21.0873229939898,21.38013708499784,21.38013708499784,21.38013708499784,21.4451474660018,left,0.1811488690145779,67016,10,2022-07-05_11h24.16.192,Bonnen2015_2afc,2022.2.1,60.1233029143757,
0.3182,0.22,-0.01,0.0,12.0,12.0,27.0,,,,,21.66144969400193,21.713532075998955,22.01352993599721,22.063289857993368,22.368435839001904,22.368435839001904,22.368435839001904,22.447410613996908,left,0.1490145040152128,67016,10,2022-07-05_11h24.16.192,Bonnen2015_2afc,2022.2.1,60.1233029143757,
0.3182,0.22,-0.08,0.0,13.0,13.0,39.0,,,,,22.627832660989952,22.68017142999452,22.98030317499069,23.030239205996622,23.337257956998656,23.337257956998656,23.337257956998656,23.49366018699948,left,0.0467586930171819,67016,10,2022-07-05_11h24.16.192,Bonnen2015_2afc,2022.2.1,60.1233029143757,
0.4118,0.17,0.16,0.0,14.0,14.0,22.0,,,,,23.49366018699948,23.536967121995986,23.829866408996168,23.879890914991847,24.200955798994983,24.200955798994983,24.200955798994983,24.265932765003527,right,0.1321545380051247,67016,10,2022-07-05_11h24.16.192,Bonnen2015_2afc,2022.2.1,60.1233029143757,
1.0,0.07,0.04,0.0,15.0,15.0,12.0,,,,,24.455509937994066,24.513495129998773,24.79720515999361,24.84698461199877,25.157098493989903,25.157098493989903,25.157098493989903,25.23024861900194,right,0.0949315970065072,67016,10,2022-07-05_11h24.16.192,Bonnen2015_2afc,2022.2.1,60.1233029143757,
1.0,0.07,-0.01,0.0,16.0,16.0,24.0,,,,,25.37484315599432,25.42267751599138,25.71362499899988,25.77381903299829,26.0656999060011,26.0656999060011,26.0656999060011,26.13209818399628,left,0.1221710039972094,67016,10,2022-07-05_11h24.16.192,Bonnen2015_2afc,2022.2.1,60.1233029143757,
0.4118,0.17,0.04,0.0,17.0,17.0,14.0,,,,,26.310095448003267,26.354175571992528,26.64722676799284,26.699309563991847,27.005678247995093,27.005678247995093,27.005678247995093,27.0802868729952,right,0.119621387013467,67016,10,2022-07-05_11h24.16.192,Bonnen2015_2afc,2022.2.1,60.1233029143757,
0.4118,0.17,0.0,0.0,18.0,18.0,2.0,,,,,27.229123242999776,27.28060556900164,27.58819368199329,27.633934338999097,27.933592382993083,27.933592382993083,27.933592382993083,27.995673981989967,left,0.4050731210008962,67016,10,2022-07-05_11h24.16.192,Bonnen2015_2afc,2022.2.1,60.1233029143757,
0.5833,0.12,-0.04,0.0,19.0,19.0,33.0,,,,,28.44396016000246,28.4967432479898,28.796782760997303,28.8472140209924,29.14944556300179,29.14944556300179,29.14944556300179,29.211655976003385,left,0.1359367550030583,67016,10,2022-07-05_11h24.16.192,Bonnen2015_2afc,2022.2.1,60.1233029143757,
0.5833,0.12,0.16,0.0,20.0,20.0,21.0,,,,,29.39590605300328,29.44673183899431,29.749602473995765,29.796715121992747,30.102750121994177,30.102750121994177,30.102750121994177,30.180304897003225,right,0.1913008130068192,67016,10,2022-07-05_11h24.16.192,Bonnen2015_2afc,2022.2.1,60.1233029143757,
0.4118,0.17,-0.04,0.0,21.0,21.0,34.0,,,,,30.408581140000024,30.463490458991146,30.768101348992783,30.832658154002274,31.10043992399005,31.153949935993296,31.10043992399005,31.16552616500121,left,0.3087302560015814,67016,10,2022-07-05_11h24.16.192,Bonnen2015_2afc,2022.2.1,60.1233029143757,
0.5833,0.12,-0.16,0.0,22.0,22.0,41.0,,,,,31.52384696499212,31.571443509994424,31.88230805899365,31.93302537599812,32.230906500990386,32.230906500990386,32.230906500990386,32.29591216800327,left,0.1670623050013091,67016,10,2022-07-05_11h24.16.192,Bonnen2015_2afc,2022.2.1,60.1233029143757,
0.4118,0.17,0.08,0.0,23.0,23.0,18.0,,,,,32.510456099989824,32.57321028399747,32.88008236199676,32.930018617989845,33.24469744600356,33.24469744600356,33.24469744600356,33.261442717994214,right,0.1898796740133548,67016,10,2022-07-05_11h24.16.192,Bonnen2015_2afc,2022.2.1,60.1233029143757,
1.0,0.07,0.0,0.0,24.0,24.0,0.0,,,,,33.54314534600417,33.59680207900237,33.89766862700344,33.946861745003844,34.25106872699689,34.25106872699689,34.25106872699689,34.313931042997865,right,0.6246577060082927,67016,10,2022-07-05_11h24.16.192,Bonnen2015_2afc,2022.2.1,60.1233029143757,
0.3182,0.22,0.16,0.0,25.0,25.0,23.0,,,,,34.978520680000656,35.02980104299786,35.330188738997094,35.38311170099769,35.68432208900049,35.68432208900049,35.68432208900049,35.763658434996614,right,0.1624342779978178,67016,10,2022-07-05_11h24.16.192,Bonnen2015_2afc,2022.2.1,60.1233029143757,
1.0,0.07,-0.04,0.0,26.0,26.0,32.0,,,,,35.97038264699222,36.015234712001984,36.323514094998245,36.37960052100243,36.64969957599533,36.70139243299491,36.64969957599533,36.76319050999882,left,0.1511179030057974,67016,10,2022-07-05_11h24.16.192,Bonnen2015_2afc,2022.2.1,60.1233029143757,
1.0,0.07,-0.16,0.0,27.0,27.0,40.0,,,,,36.91325125799631,36.96323135199782,37.26353749599366,37.32525929699477,37.6178435079928,37.6178435079928,37.6178435079928,37.69882468499418,left,0.2098472480138298,67016,10,2022-07-05_11h24.16.192,Bonnen2015_2afc,2022.2.1,60.1233029143757,
0.5833,0.12,-0.01,0.0,28.0,28.0,25.0,,,,,37.925380303000566,37.97196201600309,38.272354348999215,38.325362310992205,38.649243655003374,38.649243655003374,38.649243655003374,38.71244530599506,left,0.2656366420123959,67016,10,2022-07-05_11h24.16.192,Bonnen2015_2afc,2022.2.1,60.1233029143757,
1.0,0.07,0.08,0.0,29.0,29.0,16.0,,,,,39.04169055499369,39.0880924929952,39.396498881003936,39.446810900000855,39.749104558999534,39.749104558999534,39.749104558999534,39.81187646499893,right,0.1259101920149987,67016,10,2022-07-05_11h24.16.192,Bonnen2015_2afc,2022.2.1,60.1233029143757,
1.0,0.07,-0.02,0.0,30.0,30.0,28.0,,,,,39.98918532299285,40.03502696400392,40.3479853960016,40.39678304200061,40.71108181499585,40.71108181499585,40.71108181499585,40.77821588799998,left,0.11464161000913,67016,10,2022-07-05_11h24.16.192,Bonnen2015_2afc,2022.2.1,60.1233029143757,
0.3182,0.22,-0.04,0.0,31.0,31.0,35.0,,,,,40.94129288899421,40.98859469099261,41.29647613999259,41.34648033400299,41.64898066899332,41.64898066899332,41.64898066899332,41.71167836499808,left,0.134952731008525,67016,10,2022-07-05_11h24.16.192,Bonnen2015_2afc,2022.2.1,60.1233029143757,
0.4118,0.17,-0.02,0.0,32.0,32.0,30.0,,,,,41.89542018099746,41.94649786199443,42.24730449100025,42.298661947992514,42.600252388001536,42.600252388001536,42.600252388001536,42.663775412002,left,0.1931598670053063,67016,10,2022-07-05_11h24.16.192,Bonnen2015_2afc,2022.2.1,60.1233029143757,
0.3182,0.22,0.04,0.0,33.0,33.0,15.0,,,,,42.89443830300297,42.954397517998586,43.24672100000316,43.29669442299928,43.61085380599252,43.61085380599252,43.61085380599252,43.677767870991374,right,0.1241225540143204,67016,10,2022-07-05_11h24.16.192,Bonnen2015_2afc,2022.2.1,60.1233029143757,
0.3182,0.22,-0.02,0.0,34.0,34.0,31.0,,,,,43.84559341899876,43.89652822399512,44.19891540099343,44.24898630200187,44.568970320993685,44.568970320993685,44.568970320993685,44.63100407499587,left,0.189964482007781,67016,10,2022-07-05_11h24.16.192,Bonnen2015_2afc,2022.2.1,60.1233029143757,
0.4118,0.17,0.01,0.0,35.0,35.0,6.0,,,,,44.87514681900211,44.92050335199747,45.2131875060004,45.26377230299113,45.56886219399166,45.56886219399166,45.56886219399166,45.6462576030026,right,0.1399336970061995,67016,10,2022-07-05_11h24.16.192,Bonnen2015_2afc,2022.2.1,60.1233029143757,
