blobHeight,blobWidth,offset,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,start_trial_text.started,start_key_resp.started,start_key_resp.keys,start_key_resp.rt,noise.started,blob_1.started,blob_1.stopped,blob_2.started,noise_2.started,blob_2.stopped,key_resp.started,noise.stopped,key_resp.keys,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,Unnamed: 27
,,,,,,,9.794770318010706,9.794770318010706,right,1.3231058639939874,,,,,,,,,,,67016,8,2022-07-05_11h22.17.093,Bonnen2015_2afc,2022.2.1,59.94369764169379,
1.0,0.07,0.0,0.0,0.0,0.0,0.0,,,,,11.260846787001356,11.307953148003437,11.60097888299788,11.650896523002302,11.953725389001193,11.953725389001193,11.953725389001193,12.016870874009328,right,0.2388354940048884,67016,8,2022-07-05_11h22.17.093,Bonnen2015_2afc,2022.2.1,59.94369764169379,
0.5833,0.12,-0.08,0.0,1.0,1.0,37.0,,,,,12.299844537003082,12.350761858004262,12.65109027600556,12.700955984008033,12.989734157003111,12.989734157003111,12.989734157003111,13.050097904997529,left,0.122760191996349,67016,8,2022-07-05_11h22.17.093,Bonnen2015_2afc,2022.2.1,59.94369764169379,
0.3182,0.22,0.0,0.0,2.0,2.0,3.0,,,,,13.215212253009668,13.267453936001402,13.567489344000933,13.61759981799696,13.913817983004265,13.913817983004265,13.913817983004265,13.98227322200546,right,0.637626604991965,67016,8,2022-07-05_11h22.17.093,Bonnen2015_2afc,2022.2.1,59.94369764169379,
0.3182,0.22,-0.08,0.0,3.0,3.0,39.0,,,,,14.664402738009812,14.710040602003572,15.001031888008583,15.05382407399884,15.353029372010496,15.353029372010496,15.353029372010496,15.416714589009644,left,0.0954199910047464,67016,8,2022-07-05_11h22.17.093,Bonnen2015_2afc,2022.2.1,59.94369764169379,
0.4118,0.17,-0.02,0.0,4.0,4.0,30.0,,,,,15.5488330770022,15.600717870009248,15.900729286004209,15.95080186300038,16.25355910300277,16.25355910300277,16.25355910300277,16.31943264300935,left,0.1096600839955499,67016,8,2022-07-05_11h22.17.093,Bonnen2015_2afc,2022.2.1,59.94369764169379,
1.0,0.07,0.02,0.0,5.0,5.0,8.0,,,,,16.462584649998462,16.507723892005743,16.80083526400267,16.85081106099824,17.15435497900762,17.15435497900762,17.15435497900762,17.216855050006416,right,0.125464639000711,67016,8,2022-07-05_11h22.17.093,Bonnen2015_2afc,2022.2.1,59.94369764169379,
0.3182,0.22,0.08,0.0,6.0,6.0,19.0,,,,,17.38057227700483,17.434169095009565,17.73380734999955,17.784059049998177,18.085744327996508,18.085744327996508,18.085744327996508,18.1495225020044,right,0.1235910350078484,67016,8,2022-07-05_11h22.17.093,Bonnen2015_2afc,2022.2.1,59.94369764169379,
0.3182,0.22,0.02,0.0,7.0,7.0,11.0,,,,,18.315672297001584,18.36030899200705,18.650933780998457,18.700670357997296,19.04130334500224,18.9882647839986,19.04130334500224,19.10358740200172,right,0.1009759540029335,67016,8,2022-07-05_11h22.17.093,Bonnen2015_2afc,2022.2.1,59.94369764169379,
1.0,0.07,0.16,0.0,8.0,8.0,20.0,,,,,19.248778389999643,19.30045539200364,19.600669043007656,19.650839870009804,19.952372251005727,19.952372251005727,19.952372251005727,20.01570277000428,right,0.1130878539843251,67016,8,2022-07-05_11h22.17.093,Bonnen2015_2afc,2022.2.1,59.94369764169379,
0.4118,0.17,0.02,0.0,9.0,9.0,10.0,,,,,20.165193509004894,20.21739036300277,20.517246543007783,20.566911875997903,20.867445684009,20.867445684009,20.867445684009,20.93214474800334,right,0.1401703110022936,67016,8,2022-07-05_11h22.17.093,Bonnen2015_2afc,2022.2.1,59.94369764169379,
