blobHeight,blobWidth,offset,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,start_trial_text.started,start_key_resp.started,start_key_resp.keys,start_key_resp.rt,noise.started,blob_1.started,blob_1.stopped,blob_2.started,noise_2.started,blob_2.stopped,key_resp.started,noise.stopped,key_resp.keys,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,Unnamed: 27
,,,,,,,7.914868294988992,7.914868294988992,right,0.7056630599981872,,,,,,,,,,,67016,1,2022-07-05_01h57.26.528,Bonnen2015_2afc,2022.2.1,59.999062816582864,
0.4118,0.17,-0.08,0.0,0.0,0.0,38.0,,,,,8.770477449987084,8.817275928988238,9.112630351999542,9.162718174993644,9.464916351993452,9.464916351993452,9.464916351993452,9.530821213993477,left,0.4720661879982799,67016,1,2022-07-05_01h57.26.528,Bonnen2015_2afc,2022.2.1,59.999062816582864,
0.4118,0.17,0.04,0.0,1.0,1.0,14.0,,,,,10.05539919399598,10.111577093994129,10.411788491997868,10.461953633988742,10.76624175699544,10.76624175699544,10.76624175699544,10.827723924987367,right,0.2197575850004796,67016,1,2022-07-05_01h57.26.528,Bonnen2015_2afc,2022.2.1,59.999062816582864,
0.5833,0.12,-0.01,0.0,2.0,2.0,25.0,,,,,11.093709170992952,11.14589859599073,11.445305500994436,11.49478890300088,11.78527685199515,11.78527685199515,11.78527685199515,11.846184208989143,left,0.492875373995048,67016,1,2022-07-05_01h57.26.528,Bonnen2015_2afc,2022.2.1,59.999062816582864,
1.0,0.07,-0.04,0.0,3.0,3.0,32.0,,,,,12.406400061998283,12.461678781997762,12.76414390199352,12.812825105997035,13.117124098993372,13.117124098993372,13.117124098993372,13.181266937986948,left,0.1970464619953418,67016,1,2022-07-05_01h57.26.528,Bonnen2015_2afc,2022.2.1,59.999062816582864,
1.0,0.07,0.16,0.0,4.0,4.0,20.0,,,,,13.437946187987109,13.485725570993964,13.778474116988946,13.828263756993692,14.13338046699937,14.13338046699937,14.13338046699937,14.211819361997186,right,0.2510947109985864,67016,1,2022-07-05_01h57.26.528,Bonnen2015_2afc,2022.2.1,59.999062816582864,
1.0,0.07,0.04,0.0,5.0,5.0,12.0,,,,,14.49446813299437,14.546618255000794,14.847034180987976,14.89600584800064,15.201152443987668,15.201152443987668,15.201152443987668,15.27873074899253,right,0.1809312870027497,67016,1,2022-07-05_01h57.26.528,Bonnen2015_2afc,2022.2.1,59.999062816582864,
0.4118,0.17,0.16,0.0,6.0,6.0,22.0,,,,,15.495477668999229,15.545211735996418,15.84536450599262,15.895103144997847,16.199227608987712,16.199227608987712,16.199227608987712,16.278508096991573,right,0.2658834659960121,67016,1,2022-07-05_01h57.26.528,Bonnen2015_2afc,2022.2.1,59.999062816582864,
1.0,0.07,-0.08,0.0,7.0,7.0,36.0,,,,,16.587079896999057,16.635211226996034,16.92836259599426,16.978602140996372,17.282853028998943,17.282853028998943,17.282853028998943,17.35869512599311,left,0.3525307740055723,67016,1,2022-07-05_01h57.26.528,Bonnen2015_2afc,2022.2.1,59.999062816582864,
1.0,0.07,0.02,0.0,8.0,8.0,8.0,,,,,17.741195776994573,17.786903279993567,18.078433850998408,18.12859319799464,18.433051588988747,18.433051588988747,18.433051588988747,18.511586499997065,right,0.229803770998842,67016,1,2022-07-05_01h57.26.528,Bonnen2015_2afc,2022.2.1,59.999062816582864,
0.3182,0.22,-0.08,0.0,9.0,9.0,39.0,,,,,18.789507021996545,18.835187061995384,19.13116272998741,19.17962472498766,19.483564314999967,19.483564314999967,19.483564314999967,19.561953703989275,left,0.2501657219982007,67016,1,2022-07-05_01h57.26.528,Bonnen2015_2afc,2022.2.1,59.999062816582864,
0.4118,0.17,0.02,0.0,10.0,10.0,10.0,,,,,19.85497369099176,19.902519937997567,20.21421824999561,20.263485278992448,20.562907884988817,20.562907884988817,20.562907884988817,20.627183592994697,right,0.2473278620018391,67016,1,2022-07-05_01h57.26.528,Bonnen2015_2afc,2022.2.1,59.999062816582864,
0.5833,0.12,0.08,0.0,11.0,11.0,17.0,,,,,20.911503041992543,20.96267426099803,21.261804169989773,21.311909871001266,21.61465266199957,21.61465266199957,21.61465266199957,21.69528642199293,right,0.2276996079890523,67016,1,2022-07-05_01h57.26.528,Bonnen2015_2afc,2022.2.1,59.999062816582864,
1.0,0.07,-0.01,0.0,12.0,12.0,24.0,,,,,21.94493653999234,21.99522078999144,22.29638017299294,22.345089094989817,22.65013959498901,22.65013959498901,22.65013959498901,22.71355384099297,left,0.2907602210034383,67016,1,2022-07-05_01h57.26.528,Bonnen2015_2afc,2022.2.1,59.999062816582864,
0.3182,0.22,0.08,0.0,13.0,13.0,19.0,,,,,23.04270970298967,23.095265206997283,23.395026228987263,23.448493017000143,23.7492127000005,23.7492127000005,23.7492127000005,23.81150506499398,right,0.5766040489979787,67016,1,2022-07-05_01h57.26.528,Bonnen2015_2afc,2022.2.1,59.999062816582864,
0.4118,0.17,0.01,0.0,14.0,14.0,6.0,,,,,24.42592851498921,24.47867731298902,24.779326434989343,24.83197606899193,25.135272608997184,25.135272608997184,25.135272608997184,25.21187120999093,right,0.4607945569878211,67016,1,2022-07-05_01h57.26.528,Bonnen2015_2afc,2022.2.1,59.999062816582864,
0.3182,0.22,-0.04,0.0,15.0,15.0,35.0,,,,,25.71055563999107,25.76176794798812,26.06186570700084,26.111739678992308,26.405453232000585,26.405453232000585,26.405453232000585,26.47675947198877,left,0.2609524639992742,67016,1,2022-07-05_01h57.26.528,Bonnen2015_2afc,2022.2.1,59.999062816582864,
0.5833,0.12,0.01,0.0,16.0,16.0,5.0,,,,,26.77697114399052,26.828238235990284,27.128518375990097,27.17842837399803,27.482070207988727,27.482070207988727,27.482070207988727,27.56163192298845,right,0.1966905899898847,67016,1,2022-07-05_01h57.26.528,Bonnen2015_2afc,2022.2.1,59.999062816582864,
1.0,0.07,0.08,0.0,17.0,17.0,16.0,,,,,27.80450238200137,27.8513006449939,28.14777479998884,28.1946832179965,28.500845627000672,28.500845627000672,28.500845627000672,28.578346623995458,right,0.1824290259974077,67016,1,2022-07-05_01h57.26.528,Bonnen2015_2afc,2022.2.1,59.999062816582864,
0.3182,0.22,0.02,0.0,18.0,18.0,11.0,,,,,28.80356233999192,28.8498887809983,29.147432191995904,29.196611585997744,29.49662142999296,29.49662142999296,29.49662142999296,29.56292774599569,right,0.3076895450067241,67016,1,2022-07-05_01h57.26.528,Bonnen2015_2afc,2022.2.1,59.999062816582864,
1.0,0.07,0.0,0.0,19.0,19.0,0.0,,,,,29.908344079987728,29.96156867299578,30.261611433990765,30.31161647199769,30.614745464990847,30.614745464990847,30.614745464990847,30.68034989699663,left,0.4473419359856052,67016,1,2022-07-05_01h57.26.528,Bonnen2015_2afc,2022.2.1,59.999062816582864,
1.0,0.07,-0.02,0.0,20.0,20.0,28.0,,,,,31.19046969099145,31.24471790299868,31.545868686996982,31.59614660199441,31.89640415798931,31.89640415798931,31.89640415798931,31.961880924995057,left,0.3505237249919446,67016,1,2022-07-05_01h57.26.528,Bonnen2015_2afc,2022.2.1,59.999062816582864,
0.5833,0.12,0.04,0.0,21.0,21.0,13.0,,,,,32.36924413499946,32.41943340699072,32.71122376299172,32.76123219699366,33.067574018001324,33.067574018001324,33.067574018001324,33.14443714999652,right,0.1544789869949454,67016,1,2022-07-05_01h57.26.528,Bonnen2015_2afc,2022.2.1,59.999062816582864,
0.5833,0.12,0.0,0.0,22.0,22.0,1.0,,,,,33.327870486988104,33.37816668699088,33.67912079198868,33.7281491850008,34.029550216990174,34.029550216990174,34.029550216990174,34.09609435099992,right,0.7593427890096791,67016,1,2022-07-05_01h57.26.528,Bonnen2015_2afc,2022.2.1,59.999062816582864,
0.5833,0.12,0.16,0.0,23.0,23.0,21.0,,,,,34.90287953799998,34.95252881498891,35.24608230299782,35.29576340199856,35.60872762800136,35.60872762800136,35.60872762800136,35.67671050099307,right,0.2624769740068586,67016,1,2022-07-05_01h57.26.528,Bonnen2015_2afc,2022.2.1,59.999062816582864,
1.0,0.07,-0.16,0.0,24.0,24.0,40.0,,,,,35.985883559988,36.03464817699569,36.32817265499034,36.37799286599329,36.66718143199978,36.66718143199978,36.66718143199978,36.78010526599246,left,0.2545925800077384,67016,1,2022-07-05_01h57.26.528,Bonnen2015_2afc,2022.2.1,59.999062816582864,
0.5833,0.12,-0.08,0.0,25.0,25.0,37.0,,,,,37.037348549987655,37.084786608989816,37.3783258679905,37.42829485099355,37.74522800798877,37.74522800798877,37.74522800798877,37.8141953299928,left,0.2834013389947358,67016,1,2022-07-05_01h57.26.528,Bonnen2015_2afc,2022.2.1,59.999062816582864,
0.3182,0.22,0.16,0.0,26.0,26.0,23.0,,,,,38.158370833989466,38.211460703998455,38.51133190699329,38.56196145399008,38.86779106699396,38.86779106699396,38.86779106699396,38.929821566998726,right,0.2019585180096328,67016,1,2022-07-05_01h57.26.528,Bonnen2015_2afc,2022.2.1,59.999062816582864,
0.3182,0.22,0.0,0.0,27.0,27.0,3.0,,,,,39.18873736499518,39.24446068798716,39.54462128700106,39.59448149400123,39.90459991298849,39.90459991298849,39.90459991298849,39.978075470993645,right,0.5995286329998635,67016,1,2022-07-05_01h57.26.528,Bonnen2015_2afc,2022.2.1,59.999062816582864,
0.5833,0.12,-0.16,0.0,28.0,28.0,41.0,,,,,40.60585091100074,40.64125850200071,40.9280523310008,41.02800178799953,41.32925405399874,41.32925405399874,41.32925405399874,41.39278157398803,left,0.1507415039959596,67016,1,2022-07-05_01h57.26.528,Bonnen2015_2afc,2022.2.1,59.999062816582864,
0.3182,0.22,0.01,0.0,29.0,29.0,7.0,,,,,41.60382551899238,41.65242637098709,41.94468562399561,41.99478969800112,42.31112955999561,42.31112955999561,42.31112955999561,42.37601859099232,right,0.2546803669974906,67016,1,2022-07-05_01h57.26.528,Bonnen2015_2afc,2022.2.1,59.999062816582864,
0.4118,0.17,-0.16,0.0,30.0,30.0,42.0,,,,,42.691707158999634,42.74469145599869,43.04437978898932,43.09476832799555,43.39917010298814,43.39917010298814,43.39917010298814,43.4628288919921,left,0.1884599309996701,67016,1,2022-07-05_01h57.26.528,Bonnen2015_2afc,2022.2.1,59.999062816582864,
0.4118,0.17,0.08,0.0,31.0,31.0,18.0,,,,,43.69217914198816,43.744609289991786,44.04443429099047,44.094781009000144,44.39746658199874,44.39746658199874,44.39746658199874,44.46259453998937,right,0.2104473049985245,67016,1,2022-07-05_01h57.26.528,Bonnen2015_2afc,2022.2.1,59.999062816582864,
0.4118,0.17,0.0,0.0,32.0,32.0,2.0,,,,,44.70853552399785,44.76113262199215,45.06129526699078,45.11143217199424,45.41826821699215,45.41826821699215,45.41826821699215,45.49296347898781,right,0.6475079869996989,67016,1,2022-07-05_01h57.26.528,Bonnen2015_2afc,2022.2.1,59.999062816582864,
0.5833,0.12,-0.02,0.0,33.0,33.0,29.0,,,,,46.18920261898893,46.23556546100008,46.54486730200006,46.594494550998206,46.9086482339917,46.9086482339917,46.9086482339917,46.976220691998606,left,0.2723189020034624,67016,1,2022-07-05_01h57.26.528,Bonnen2015_2afc,2022.2.1,59.999062816582864,
0.3182,0.22,-0.16,0.0,34.0,34.0,43.0,,,,,47.29308467499504,47.34442818899697,47.64449448300002,47.69450309299282,47.99808648398903,47.99808648398903,47.99808648398903,48.07807404200139,left,0.2263482679991284,67016,1,2022-07-05_01h57.26.528,Bonnen2015_2afc,2022.2.1,59.999062816582864,
0.4118,0.17,-0.04,0.0,35.0,35.0,34.0,,,,,48.326513410997,48.37935205199756,48.67793690899271,48.727975346992025,49.03451335598948,49.03451335598948,49.03451335598948,49.101345905000926,left,0.2622691900032805,67016,1,2022-07-05_01h57.26.528,Bonnen2015_2afc,2022.2.1,59.999062816582864,
0.4118,0.17,-0.02,0.0,36.0,36.0,30.0,,,,,49.40704831999028,49.46431004699844,49.76096591199166,49.811424702988006,50.11581291699258,50.11581291699258,50.11581291699258,50.1944125250011,left,0.3402557249937672,67016,1,2022-07-05_01h57.26.528,Bonnen2015_2afc,2022.2.1,59.999062816582864,
0.3182,0.22,0.04,0.0,37.0,37.0,15.0,,,,,50.55977954399714,50.61094343700097,50.91203460098768,50.96112899699074,51.27274576399941,51.27274576399941,51.27274576399941,51.34375588998955,right,0.175392714998452,67016,1,2022-07-05_01h57.26.528,Bonnen2015_2afc,2022.2.1,59.999062816582864,
0.5833,0.12,-0.04,0.0,38.0,38.0,33.0,,,,,51.57103331699909,51.618016674998216,51.91131302599388,51.96130991500104,52.2652796869952,52.2652796869952,52.2652796869952,52.345060917999945,left,0.2081149229925358,67016,1,2022-07-05_01h57.26.528,Bonnen2015_2afc,2022.2.1,59.999062816582864,
