blobHeight,blobWidth,offset,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,start_trial_text.started,start_key_resp.started,start_key_resp.keys,start_key_resp.rt,noise.started,blob_1.started,blob_1.stopped,blob_2.started,noise_2.started,blob_2.stopped,key_resp.started,noise.stopped,key_resp.keys,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,Unnamed: 27
,,,,,,,7.967441735003376,7.967441735003376,right,0.8355727590096649,,,,,,,,,,,67016,6,2022-07-05_11h17.38.154,Bonnen2015_2afc,2022.2.1,59.99091089749193,
1.0,0.07,-0.16,0.0,0.0,0.0,40.0,,,,,8.913624085995252,8.957439628997236,9.250113849993795,9.333498621999752,9.618636219995096,9.618636219995096,9.618636219995096,9.683605138998246,left,0.1687387760030105,67016,6,2022-07-05_11h17.38.154,Bonnen2015_2afc,2022.2.1,59.99091089749193,
0.4118,0.17,-0.16,0.0,1.0,1.0,42.0,,,,,9.896572198995273,9.944095233004193,10.251989683005377,10.290932386997156,10.613003189995652,10.613003189995652,10.613003189995652,10.667962587001966,left,0.1094115290034096,67016,6,2022-07-05_11h17.38.154,Bonnen2015_2afc,2022.2.1,59.99091089749193,
1.0,0.07,-0.02,0.0,2.0,2.0,28.0,,,,,10.831199299995204,10.874483880004846,11.175848016006055,11.217144433001522,11.528604350998648,11.528604350998648,11.528604350998648,11.598653915003524,left,0.319429992014193,67016,6,2022-07-05_11h17.38.154,Bonnen2015_2afc,2022.2.1,59.99091089749193,
0.3182,0.22,0.16,0.0,3.0,3.0,23.0,,,,,11.948858039002516,11.99054219100799,12.293447507006931,12.33713868400082,12.635322807997,12.635322807997,12.635322807997,12.699226017997717,right,0.0871316220145672,67016,6,2022-07-05_11h17.38.154,Bonnen2015_2afc,2022.2.1,59.99091089749193,
0.4118,0.17,-0.02,0.0,4.0,4.0,30.0,,,,,12.831193541001994,12.877715009002712,13.183996563995606,13.233797435997984,13.53704696299974,13.53704696299974,13.53704696299974,13.601776188006625,left,0.2428871110023465,67016,6,2022-07-05_11h17.38.154,Bonnen2015_2afc,2022.2.1,59.99091089749193,
0.5833,0.12,0.16,0.0,5.0,5.0,21.0,,,,,13.909887185000116,13.9834722999949,14.30358382500708,14.30358382500708,14.60459972100216,14.60459972100216,14.60459972100216,14.76464795100037,right,0.050429510010872,67016,6,2022-07-05_11h17.38.154,Bonnen2015_2afc,2022.2.1,59.99091089749193,
0.3182,0.22,0.04,0.0,6.0,6.0,15.0,,,,,14.76464795100037,14.810836115007987,15.133956585006672,15.18561201999546,15.474296753003728,15.474296753003728,15.474296753003728,15.5317156920064,right,0.3356362250051461,67016,6,2022-07-05_11h17.38.154,Bonnen2015_2afc,2022.2.1,59.99091089749193,
0.4118,0.17,0.0,0.0,7.0,7.0,2.0,,,,,15.9260737959994,15.971910319000015,16.250466295998194,16.293472692006617,16.61850712899468,16.61850712899468,16.61850712899468,16.681840121003916,right,0.2434296370047377,67016,6,2022-07-05_11h17.38.154,Bonnen2015_2afc,2022.2.1,59.99091089749193,
1.0,0.07,-0.01,0.0,8.0,8.0,24.0,,,,,16.965047764999326,17.0168221930071,17.333326282998314,17.376735211000778,17.654643411005964,17.703946409994387,17.654643411005964,17.71523345100286,left,0.4103718120022677,67016,6,2022-07-05_11h17.38.154,Bonnen2015_2afc,2022.2.1,59.99091089749193,
0.5833,0.12,0.0,0.0,9.0,9.0,1.0,,,,,18.16386496099585,18.21705170099449,18.517240411994862,18.56710742000724,18.869897869008128,18.869897869008128,18.869897869008128,18.931943300995044,left,0.5599281130125746,67016,6,2022-07-05_11h17.38.154,Bonnen2015_2afc,2022.2.1,59.99091089749193,
0.5833,0.12,-0.02,0.0,10.0,10.0,29.0,,,,,19.531602417002432,19.576678252007696,19.875018036997066,19.92098971499945,20.22182543600502,20.22182543600502,20.22182543600502,20.30068719400151,left,0.1469886220002081,67016,6,2022-07-05_11h17.38.154,Bonnen2015_2afc,2022.2.1,59.99091089749193,
1.0,0.07,0.0,0.0,11.0,11.0,0.0,,,,,20.48310104300617,20.53339107200736,20.8335139050032,20.883679534003026,21.18372610199731,21.18372610199731,21.18372610199731,21.248467989003984,left,0.345900418004021,67016,6,2022-07-05_11h17.38.154,Bonnen2015_2afc,2022.2.1,59.99091089749193,
0.5833,0.12,0.01,0.0,12.0,12.0,5.0,,,,,21.64142436999828,21.68999712700316,21.9837930759968,22.033791224006563,22.33383087599941,22.33383087599941,22.33383087599941,22.39865028299392,right,0.091727469000034,67016,6,2022-07-05_11h17.38.154,Bonnen2015_2afc,2022.2.1,59.99091089749193,
0.5833,0.12,0.08,0.0,13.0,13.0,17.0,,,,,22.529859286005376,22.57656181299535,22.867152535996865,22.91683272999944,23.220961147002527,23.220961147002527,23.220961147002527,23.2867294280004,right,0.1733572300145169,67016,6,2022-07-05_11h17.38.154,Bonnen2015_2afc,2022.2.1,59.99091089749193,
