blobHeight,blobWidth,offset,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,start_trial_text.started,start_key_resp.started,start_key_resp.keys,start_key_resp.rt,noise.started,blob_1.started,blob_1.stopped,blob_2.started,noise_2.started,blob_2.stopped,key_resp.started,noise.stopped,key_resp.keys,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,Unnamed: 27
,,,,,,,8.285774144998868,8.285774144998868,right,0.7914709829929052,,,,,,,,,,,67016,4,2022-07-05_11h15.42.746,Bonnen2015_2afc,2022.2.1,59.97557662813913,
0.5833,0.12,0.02,0.0,0.0,0.0,9.0,,,,,9.206609230997856,9.25098959900788,9.557205085002352,9.600360177995752,9.918591280002149,9.918591280002149,9.918591280002149,9.981666350999149,right,0.1052031309955054,67016,4,2022-07-05_11h15.42.746,Bonnen2015_2afc,2022.2.1,59.97557662813913,
0.4118,0.17,-0.04,0.0,1.0,1.0,34.0,,,,,10.128787421999732,10.170018283999523,10.483224062001682,10.52496347700071,10.81785505899461,10.81785505899461,10.81785505899461,10.9146678459947,left,0.1622952629986684,67016,4,2022-07-05_11h15.42.746,Bonnen2015_2afc,2022.2.1,59.97557662813913,
0.4118,0.17,-0.02,0.0,2.0,2.0,30.0,,,,,11.06265809800243,11.138899329002015,11.433226206994732,11.472487288003322,11.77114845100732,11.77114845100732,11.77114845100732,11.83141780999722,left,0.110343025997281,67016,4,2022-07-05_11h15.42.746,Bonnen2015_2afc,2022.2.1,59.97557662813913,
1.0,0.07,0.01,0.0,3.0,3.0,4.0,,,,,11.976974820994656,12.021232487997622,12.327066055004252,12.36806839100609,12.673773558999528,12.673773558999528,12.673773558999528,12.731341873004569,right,0.1323048369958996,67016,4,2022-07-05_11h15.42.746,Bonnen2015_2afc,2022.2.1,59.97557662813913,
0.3182,0.22,-0.16,0.0,4.0,4.0,43.0,,,,,12.899841414997354,12.94025420100661,13.23316018699552,13.316472527003498,13.616193756999564,13.616193756999564,13.616193756999564,13.669956949001062,left,0.1322442630043951,67016,4,2022-07-05_11h15.42.746,Bonnen2015_2afc,2022.2.1,59.97557662813913,
0.3182,0.22,-0.01,0.0,5.0,5.0,27.0,,,,,13.844490686999052,13.92103351300466,14.204006240994204,14.249836451999728,14.542654104006942,14.542654104006942,14.542654104006942,14.598104421995233,right,0.1313163599988911,67016,4,2022-07-05_11h15.42.746,Bonnen2015_2afc,2022.2.1,59.97557662813913,
1.0,0.07,-0.04,0.0,6.0,6.0,32.0,,,,,14.76487454600283,14.80292410599941,15.083084597004929,15.159370755005511,15.485528320001322,15.440245139005128,15.485528320001322,15.548016250002547,left,0.2108388120104791,67016,4,2022-07-05_11h15.42.746,Bonnen2015_2afc,2022.2.1,59.97557662813913,
0.4118,0.17,0.16,0.0,7.0,7.0,22.0,,,,,15.790748041996268,15.833130949002223,16.12359740700049,16.20432623900706,16.495571332998225,16.495571332998225,16.495571332998225,16.551002531996346,right,0.1134579810022842,67016,4,2022-07-05_11h15.42.746,Bonnen2015_2afc,2022.2.1,59.97557662813913,
0.4118,0.17,0.0,0.0,8.0,8.0,2.0,,,,,16.697726194004645,16.737078196994844,17.0221084060031,17.099803434000933,17.429892928994377,17.383107404995826,17.429892928994377,17.486005585000385,left,0.4752245590061648,67016,4,2022-07-05_11h15.42.746,Bonnen2015_2afc,2022.2.1,59.97557662813913,
0.5833,0.12,0.16,0.0,9.0,9.0,21.0,,,,,17.99759750800149,18.035842286000843,18.316377694005496,18.393156940001063,18.72883947500668,18.68307197499962,18.72883947500668,18.782742196999607,right,0.0608133030036697,67016,4,2022-07-05_11h15.42.746,Bonnen2015_2afc,2022.2.1,59.97557662813913,
