blobHeight,blobWidth,offset,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,start_trial_text.started,start_key_resp.started,start_key_resp.keys,start_key_resp.rt,noise.started,blob_1.started,blob_1.stopped,blob_2.started,noise_2.started,blob_2.stopped,key_resp.started,noise.stopped,key_resp.keys,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,Unnamed: 27
,,,,,,,8.654294053005287,8.654294053005287,right,3.0187115099979565,,,,,,,,,,,67016,9,2022-07-05_11h23.17.519,Bonnen2015_2afc,2022.2.1,59.867069123025175,
0.3182,0.22,-0.02,0.0,0.0,0.0,31.0,,,,,11.810863794002216,11.85871013799624,12.15607329600607,12.207138529993244,12.516919250003411,12.516919250003411,12.516919250003411,12.58521461399505,left,0.256512317006127,67016,9,2022-07-05_11h23.17.519,Bonnen2015_2afc,2022.2.1,59.867069123025175,
0.3182,0.22,0.01,0.0,1.0,1.0,7.0,,,,,12.897299788994133,12.94645059100003,13.22396006800409,13.270367129007354,13.583448075994966,13.583448075994966,13.583448075994966,13.73263184100506,left,0.0428042109997477,67016,9,2022-07-05_11h23.17.519,Bonnen2015_2afc,2022.2.1,59.867069123025175,
0.5833,0.12,-0.16,0.0,2.0,2.0,41.0,,,,,13.73263184100506,13.77753258899611,14.0874028380058,14.137360424007056,14.419479117001174,14.419479117001174,14.419479117001174,14.487112369999522,left,0.1699268869997467,67016,9,2022-07-05_11h23.17.519,Bonnen2015_2afc,2022.2.1,59.867069123025175,
0.5833,0.12,0.02,0.0,3.0,3.0,9.0,,,,,14.702855584997453,14.746038544006296,15.0379201379983,15.08713964400522,15.418902906996664,15.36312574900512,15.418902906996664,15.485337646998232,right,0.123996336988057,67016,9,2022-07-05_11h23.17.519,Bonnen2015_2afc,2022.2.1,59.867069123025175,
0.4118,0.17,-0.02,0.0,4.0,4.0,30.0,,,,,15.648969375994056,15.694414619996678,15.986764380999375,16.037002914003097,16.368951840006048,16.320316544995876,16.368951840006048,16.434967433000566,left,0.1018805780040565,67016,9,2022-07-05_11h23.17.519,Bonnen2015_2afc,2022.2.1,59.867069123025175,
1.0,0.07,0.04,0.0,5.0,5.0,12.0,,,,,16.585382322999067,16.63693220099958,16.93700650399842,16.98815907399694,17.28979800599336,17.28979800599336,17.28979800599336,17.351877285007504,right,0.1262488789943745,67016,9,2022-07-05_11h23.17.519,Bonnen2015_2afc,2022.2.1,59.867069123025175,
1.0,0.07,0.01,0.0,6.0,6.0,4.0,,,,,17.517437488000724,17.563656850994448,17.853470094007207,17.903465929004597,18.23181495600147,18.179596949994448,18.23181495600147,18.3035417659994,right,0.07722876999469,67016,9,2022-07-05_11h23.17.519,Bonnen2015_2afc,2022.2.1,59.867069123025175,
1.0,0.07,-0.16,0.0,7.0,7.0,40.0,,,,,18.4160015929956,18.4604257089959,18.75387608099845,18.804985162001685,19.13736630200583,19.13736630200583,19.13736630200583,19.218258298002183,left,0.0830005779862403,67016,9,2022-07-05_11h23.17.519,Bonnen2015_2afc,2022.2.1,59.867069123025175,
0.3182,0.22,0.0,0.0,8.0,8.0,3.0,,,,,19.34533795900643,19.39280431199586,19.687142326001776,19.73714450300031,20.023535896005345,20.023535896005345,20.023535896005345,20.103112248005345,left,0.0831485909875482,67016,9,2022-07-05_11h23.17.519,Bonnen2015_2afc,2022.2.1,59.867069123025175,
